original paper,paper title ,excluded,selected
Do Generative AI Tools Ensure Green Code? An Investigative Study,"Evaluating the Code Quality of AI-Assisted Code Generation Tools: An Empirical Study on GitHub Copilot, Amazon CodeWhisperer, and ChatGPT",0,0
Can LLMs Generate Green Code - A Comprehensive Study Through LeetCode,Tensorrt-llm: High-performance inference for large language models,0,0
Can LLMs Generate Green Code - A Comprehensive Study Through LeetCode,Solar 10.7b: Scaling large language models with simple yet effective depth up-scaling,0,0
Can LLMs Generate Green Code - A Comprehensive Study Through LeetCode,"Understanding multi dimensional efficiency of fine-tuning large language models using speedup, memoryup, and energyup",0,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Persistent anti muslim bias in large language models,0,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Large language models in machine transla tion,0,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Generative ai could raise global gdp by 7%,1,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Openai’s chatgpt chatbot tops the list but these are the 9 other most popular ai tools just now,1,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Pause giant ai experiments: An open letter,1,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Chatgpt outperforms crowd-workers for text-annotation tasks,1,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Eval uating large language models in generating synthetic hci research data: a case study,0,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Auditing the ai auditors: A framework for evaluating fairness and bias in high stakes ai predictive models,0,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Do we still need human as sessors? prompt-based gpt-3 user simulation in con versational ai,0,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Closing the ai accountability gap: Defining an end-to-end framework for internal algo rithmic auditing,0,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Chatgpt and advanced ai face new regulatory push in europe,1,0
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,Us begins study of possible rules to regulate ai like chatgpt,1,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Automatic Code Generation of MVC Web Applications,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Automatic HTML Code Generation from Mock- Up Images Using Machine Learning Techniques,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Factors Involved in Artificial Intelligence-based Automated HTML Code Generation Tool,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Automatic HTML Code Generation from Graphical User Interface Image,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Image2emmet: Automatic Code Generation from Web User Interface Image,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Understanding HTML with Large Language Models,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Automatic Code Generation From Low Fidelity Graphical User Interface Sketches Using Deep Learning,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Automatic Html Code Generation from Mock-Up Images Using Machine Learning Techniques,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,HTML Code Generation from Website Images and Sketches using Deep Learning-Based Encoder- Decoder Model,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,HTML Code Generation using CNN Algorithm,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,A Deep Learning Based Object Detec- tion System for User Interface Code Generation,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,UI Code Generation using Deep learning,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Dynamic web with automatic code generation using deep learning,0,0
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,Automatic HTML code generation from mock-up images using machine learning techniques,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Generative AI Degrades Online Communities,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,AI hallucinates software packages and devs download them– even if potentially poisoned with malware,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,"Focus: Google, one of AI’s biggest backers, warns own staff about chatbots",1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,The economic impact of the AI-powered developer lifecycle and lessons from GitHub Copilot,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,SeaChangeinSoftware Development: Economic and Productivity Analysis of the AI-Powered Developer Lifecycle,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,An Empirical Categorization of Prompting Techniques for Large Language Models: APractitioner’s Guide,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,GitHub Copilot · Your AI pair programmer,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Project Naptime: Evaluating Offensive Se curity Capabilities of Large Language Models,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Samsung Bans Staff’s AI Use After Spotting ChatGPT Data Leak,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Hai: The AI Assistant for Vulnerability Intelligence,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Large Language Models for Code: Security Hardening and Adversarial Testing,0,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT An swers to Stack Overflow Questions,0,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,The Menlo Report: Ethical Principles Guiding Information and Communication Technology Research,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Diving Deeper into AI Package Hallucinations,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges,0,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,LLMs Killed the Script Kiddie: How Agents Supported by Large Language Models Change the Landscape of Network Threat Testing,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,CodexLeaks: Privacy Leaks from Code Generation Language Models in GitHub Copilot,0,1
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Introducing ChatGPT,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Do Users Write More Insecure Code with AI Assistants?,0,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,NYU CTF Dataset: A Scalable Open-Source Benchmark Dataset for Evaluating LLMs in Offensive Security,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,"AI Code, Security, and Trust: Organizations Must Change Their Ap proach",1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Using Large Language Models for Cybersecurity Capture-The-Flag Challenges and Certification Questions,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,Apple becomes the latest company to ban ChatGPT for internal use,1,0
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns,"It’s a Fair Game"", or Is It? Examining HowUsers Navigate Disclosure Risks and Benefits When Using LLM-Based Con versational Agents",0,0
PaLM: scaling language modeling with pathways,"Designing Disaggregated Evaluations of AI Systems: Choices, Considerations, and Tradeoffs",0,0
PaLM: scaling language modeling with pathways,Competition-level code generation with alphacode,0,0
PaLM: scaling language modeling with pathways,Prompt programming for large language models: Beyond the few-shot paradigm,0,0
